ID,Smiles,pIC50
34,O=C1C2C=CC(OC(N3CCCC3)=O)=CC2OC=C1C4=CC=C(OC)C=C4,8.598599459
107,COC1=C(OC)C=C(O/C(C2=O)=C\C3=CC=CC(OC(N(C4=CC=CC=C4)C5=CC=CC=C5)=O)=C3)C2=C1,8.575118363
148,O=C1N(C2=CC=CC=C2)C(C3=CC=CC=C3C1SC4=CC=CC(OC(N(C)CC)=O)=C4)=O,8.503070352
47,COC1=CC(/C=C/C(N2CCC(C3=CC=CC=C3)CC2)=O)=CC=C1OC(N(C)CC)=O,8.49757288
BM-11,O=C1C(C2=CC=C(OC(N(CC)CC)=O)C=C2)=COC3=C1C(O)=CC(OC(N(CC)CC)=O)=C3,8.494850022
5,OC1=CC(OC(N(C)C)=O)=CC(OC(C2=CC=C(O)C=C2)C3)=C1C3=O,8.480172006
255,O=C(C1=CC(N2CCCC2)=CC=C1C/3)C3=C/C4=CC=C(OC(N(C)C)=O)C(OC)=C4,8.474955193
602,CCCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,8.470056598
216,COC1=CC=C2C(C/C(C2=O)=C\C3=CC=CC(OC(N(C)C)=O)=C3)=C1,8.463441557
MO-2,O=C1C=C(C2=CC=C(OC(N(CC)CC)=O)C=C2)OC3=CC(OC(N(CC)CC)=O)=CC(OC(N(CC)CC)=O)=C31,8.448550002
229,O=C(C1=CC(OC)=C(OC)C=C1C/2)C2=C\C3=CC=CC=C3OC(N(C)CC)=O,8.435333936
105,COC1=C(OC)C=C(O/C(C2=O)=C\C3=CC=CC(OC(N(CC)C)=O)=C3)C2=C1,8.404503778
702,CCOC(=O)/C(=N\Nc1ccccc1[N+](=O)[O-])C(=O)C(F)(F)F,8.393618635
846,Cc1ccc(C(=O)C(=O)c2ccccc2)cc1C,8.387216143
88,O=C(N1CCC(CC2=CC=CC=C2)CC1)C3=C(OC(N(C)C)=O)C=CC(OC(N(C)C)=O)=C3,8.381951903
10,OC1=C2C(OC(C3=CC=C(OC(N(OC)C)=O)C=C3)CC2=O)=CC(OC(N(C)OC)=O)=C1,8.37675071
84,O=C(C1=C(OC(N2CCOCC2)=O)C=C(OC(N3CCOCC3)=O)C=C1)N4CCC(CC5=CC=CC=C5)CC4,8.37675071
660,CCOC(=O)/C(=N\Nc1ccccc1)C(=O)C(F)(F)F,8.363512104
345,O=C(N(C1=CC=CC=C1)C2=CC=CC=C2)OC3=C4C(C=CC=N4)=CC=C3,8.339134522
823,O=C(C(=O)c1cccc(F)c1F)c1cccc(F)c1F,8.302770657
92,O=C(N1CCN(C2=CC=CC=C2)CC1)C3=C(C=C(C=C3)OC(N(CC)C)=O)OC(N(CC)C)=O,8.293282218
LQ-1,OC1=C2C(OC(C3=CC=C(OC(N(C)CC)=O)C=C3)CC2=O)=CC(OCCCN(CC4=CC=CC=C4)CC)=C1,8.28567024
154,O=C(N1C2=CC=C(OC)C=C2)C3=CC=CC=C3C(SC4=CC=C(OC(N(C)C)=O)C=C4)C1=O,8.283996656
571,CCCCCCNCC(=O)C(F)(F)F,8.260032303
613,CCCCCCCCSCC(=O)C(F)(F)F,8.236572006
6,OC1=C2C(OC(C3=CC=C(O)C=C3)CC2=O)=CC(OC(N(CC)CC)=O)=C1,8.222573178
276,O=C(CCCCCCCC)C1=C(C=C(C2=CC(OC)=CC=C2OC(N(CC)CC)=O)O3)C3=CC=C1,8.195860568
LQ-9,OC1=C2C(OC(C3=CC=C(OC(N(C)CC)=O)C=C3)CC2=O)=CC(OCCCCCCN4CC(C=CC=C5)=C5CC4)=C1,8.187086643
103,COC1=C(OC)C=C(O/C(C2=O)=C\C3=CC=C(OC(N(CC)C)=O)C=C3)C2=C1,8.1837587
LQ-15,OC1=C2C(OC(C3=CC=C(OCCCCCCCCCCN(CC4=CC=CC=C4)CC)C=C3)CC2=O)=CC(OC(N(C)CC)=O)=C1,8.174573882
254,O=C(C1=CC(N2CCCC2)=CC=C1C/3)C3=C/C4=CC=C(OC(C)=O)C(OC)=C4,8.169411331
18,O=C1C=C(C2=CC=C(OC(N(C)C)=O)C=C2)OC3=C1C(OC(N(C)C)=O)=CC(OC(N(C)C)=O)=C3,8.166852888
