ID,Smiles,pIC50
Scaffold -1,CC(C1=CC(OC)=C(OCC(N(C)C)=O)C=C1)=O,5.18
Scaffold -2,CC(C1=CC(OC)=C(OCC(N(CC)CC)=O)C=C1)=O,5.99
Scaffold -3,O=C(N(CC(C)C)CC(C)C)COC1=CC=C(C(C)=O)C(OC)=C1,5.8
Scaffold -4,CC(C1=CC(OC)=C(OCC(NC)=O)C=C1)=O,5.65
Scaffold -5,CC(C1=CC(OC)=C(OCC(NCCC)=O)C=C1)=O,5.76
Scaffold -6,O=C(NC(C)C)COC1=C(OC)C=C(C(C)=O)C=C1,5.4
Scaffold -7,CC(C1=CC(OC)=C(OCC(NC(C)(C)C)=O)C=C1)=O,5.85
Scaffold -8,CC(C1=CC(OC)=C(OCC(NC2CC2)=O)C=C1)=O,5.37
Scaffold -9,CC(C1=CC(OC)=C(OCC(NC2CCCCC2)=O)C=C1)=O,5.36
Scaffold -10,CC(C1=CC(OC)=C(OCC(NCC2CCCCC2)=O)C=C1)=O,4.96
Scaffold -11,CC(C1=CC(OC)=C(OCC(NCCC2=CC=CC=C2)=O)C=C1)=O,5.32
Scaffold -12,COC1=C(OC(N(C)C)=O)C=CC(C(C)=O)=C1,6.52
Scaffold -13,COC1=C(OC(N(CC)CC)=O)C=CC(C(C)=O)=C1,6.45
Scaffold -14,COC1=C(OC(N(CC)C)=O)C=CC(C(C)=O)=C1,6.8
Scaffold -15,COC1=C(OC(N(C(C)C)C(C)C)=O)C=CC(C(C)=O)=C1,5.85
Scaffold -16,COC1=C(OC(N(C2=CC=CC=C2)C3=CC=CC=C3)=O)C=CC(C(C)=O)=C1,6.76
Scaffold -17,CC(C1=CC(OC)=C(OC(N(CC=C)CC=C)=O)C=C1)=O,6.08
Scaffold -18,COC1=C(OC(N(CCCl)CCCl)=O)C=CC(C(C)=O)=C1,6.42
Scaffold -19,COC1=C(N2CCN(C)CC2)C=CC(C(C)=O)=C1,5.36
Scaffold -20,CC(C1=CC(OC)=C(OC(N2CCC(N3CCCCC3)CC2)=O)C=C1)=O,6.82
Scaffold -21,COC1=C(OC(N(C)C)=S)C=CC(C(C)=O)=C1,5.81
Scaffold -22,CC(C1=CC(OC)=C(OC(NC)=O)C=C1)=O,6.3
Scaffold -23,CC(C1=CC(OC)=C(OC(N(C)CCCCC)=O)C=C1)=O,6.68
MM-1,COC1=C(OC(N(C)CC)=O)C=CC(C(N2CCN(CC3=CC=CC=C3)CC2)=O)=C1,7.28
MM-2,COC1=C(OC(N(C)CC)=O)C=CC(C(N2CCC(CC3=CC=CC=C3)CC2)=O)=C1,7.13
MM-3,COC1=C(OC(N(C)CC)=O)C=CC(C(N2CCC(C3=CC=CC=C3)CC2)=O)=C1,7.25
MM-4,COC1=C(OC(N(C)CC)=O)C=CC(C(N2CCC(C=CC=C3)=C3C2)=O)=C1,7.15
MM-5,O=C(C1=CC(OC)=C(OC(N(C)CC)=O)C=C1)N2CCC(CCCC3=CC=CC=C3)CC2,7.27
NN-1,O=C(CCC1=CC(OC)=C(OC(N(C)CC)=O)C=C1)N2CCN(CC3=CC=CC=C3)CC2,7.63
NN-2,O=C(CCC1=CC(OC)=C(OC(N(C)CC)=O)C=C1)N2CCC(CC3=CC=CC=C3)CC2,7.48
NN-3,O=C(CCC1=CC(OC)=C(OC(N(C)CC)=O)C=C1)N2CCC(C3=CC=CC=C3)CC2,7.83
NN-4,O=C(CCC1=CC(OC)=C(OC(N(C)CC)=O)C=C1)N2CCC(C=CC=C3)=C3C2,7.53
OO-1,COC1=C(OC(N(C)CC)=O)C=CC(/C=C/C(N2CCC(C3=CC=CC=C3)CC2)=O)=C1,7.64
OO-2,O=C(/C=C/C1=CC=C(OC(N(C)CC)=O)C=C1)N2CCC(CC3=CC=CC=C3)CC2,7.25
OO-3,O=C(/C=C/C1=CC=C(OC(N(C)CC)=O)C=C1)N2CCN(CC3=CC=CC=C3)CC2,7.38
OO-4,O=C(CCC1=CC(OC)=C(OC(N(CC)CC)=O)C=C1)N2CCN(CC3=CC=CC=C3)CC2,7.23
OO-5,O=C(CCC1=CC(OC)=C(OC(N(C)C)=O)C=C1)N2CCC(CC3=CC=CC=C3)CC2,7.18
OO-6,O=C(CCC1=CC(OC)=C(OC(N(CC)CC)=O)C=C1)N2CCC(CC3=CC=CC=C3)CC2,7.14
OO-7,O=C(CCC1=CC(OC)=C(OC(N2CCOCC2)=O)C=C1)N3CCC(CC4=CC=CC=C4)CC3,7.07
OO-8,COC1=C(OC(N2CCOCC2)=O)C=CC(C(N3CCC(CC4=CC=CC=C4)CC3)=O)=C1,6.86
OO-9,COC1=C(OC(N2CCOCC2)=O)C=CC(C(N3CCN(CC4=CC=CC=C4)CC3)=O)=C1,6.77
OO-10,O=C(N1CCC(CC2=CC=CC=C2)CC1)C3=CC=C(OC(N(C)C)=O)C=C3,7.38
OO-11,O=C(CCC1=CC=C(OC(N(C)CC)=O)C=C1)N2CCC(C=CC=C3)=C3C2,7.38
